"","Group","vord","variable","depth","N","P","depth*N","depth*P","N*P","depth*N*P"
"20","Physical characteristics",1,"mass_g",0.00694610939286422,0.4442980381309,0.683935788074071,0.81157625508856,0.0852288001528211,0.845114905200097,0.641477115338799
"3","Physical characteristics",2,"area_cm2",2.7301527705248e-09,0.592770492295482,0.610525053387913,0.68924845132993,0.0237750163820665,0.492476686447532,0.601230766567437
"38","Physical characteristics",3,"SLA",0,0.229942291590726,0.605598305182764,0.876173829212063,0.0336105824313517,0.373123007238644,0.803496464507705
"29","Polyamines",4,"Put",4.43982515019314e-06,0.822525469681177,0.841360354314965,0.209496488374177,0.809814278630378,0.49572586301618,0.103669491758902
"39","Polyamines",5,"Spd",0.0539364079062601,0.333088936070399,0.512029891284005,0.831349177402431,0.344120405627697,0.794785863958457,0.457259725245108
"40","Polyamines",6,"Spm",0.523733676914042,0.750773495712363,0.398588741061482,0.00475153870555278,0.41992561616943,0.28339359285782,0.971761268188459
"15","Amino acids and soluble protein",7,"Glu",1.53529742912273e-05,0.0605441311102954,0.317333750757623,0.0272166152746168,0.757760795425102,0.570485647620613,0.746334720841649
"4","Amino acids and soluble protein",8,"Arg",0.00520891757876285,0.284324343375647,0.369586233221215,0.00265738205010235,0.243952796052616,0.505545139954648,0.211246862892102
"2","Amino acids and soluble protein",9,"Ala",0.0920525863739654,0.00586341484381758,0.618096201883775,0.00305113462218209,0.475242423784662,0.795615027615595,0.941676644558616
"14","Amino acids and soluble protein",10,"GABA",0.00331027092807767,0.198866327910215,0.659949598432839,0.00623870024176776,0.301187040476575,0.508103654348362,0.102649508914453
"43","Amino acids and soluble protein",11,"Val",0.0127221669286743,0.0911626626674095,0.30501499867749,0.00415908385687525,0.22194771757857,0.617910501987556,0.332515455374769
"28",NA,12,"protein",1.81887838124339e-12,0.880435933022038,0.322399734605527,0.522038199535632,0.614227864513191,0.600546568435337,0.156448225548602
"24","Elements",13,"N",0.000483552180634783,0.013426132658101,0.526280468109566,0.911251135138853,0.0654684358447938,0.34545638852045,0.70715237132403
"26","Elements",14,"P",0.00863390213663995,0.318231890631363,0.00212628501571888,0.623622568517945,0.0169953467327133,0.117983429973395,0.478169851593571
"8","Elements",15,"Ca",1.44373646371321e-08,0.912118781827953,0.841978575542946,0.540872219732142,0.618310166087762,0.973586565281174,0.381268961318231
"21","Elements",16,"Mg",1.14132727713212e-08,0.0873917459371164,0.964178055150736,0.462386994908602,0.168396263243021,0.48798041520676,0.281239113221684
"22","Elements",17,"Mn",0.00250496980844628,0.0117368808468872,0.260703608509928,0.352048115893814,0.149601688430523,0.786139623543164,0.339987360900814
"1","Elements",18,"Al",0.779010491071953,0.010272431091527,0.546584726628022,0.381166207022738,0.0484362512067684,0.415025344106184,0.699829752834712
"13","Elements",19,"Fe",0.337449278750825,0.00626410177063952,0.753466781943707,0.836571086920325,0.0253988770047207,0.935020183885788,0.669511025819122
"6","Elements",20,"B",5.62134837716055e-05,0.208328614765021,0.00135438769460916,0.912352774985895,0.0028892203808335,0.093269025633357,0.519295019306218
"44","Elements",21,"Zn",7.51247952734957e-11,0.648407137888991,0.864004269340351,0.058519776925976,0.207527192769761,0.736249326519036,0.147043749410009
"42","Photosynthetic pigments",22,"total_chl",6.76347866601645e-13,0.0153817964691169,0.367057463545321,0.694250403826094,0.306510643648692,0.72527020103439,0.548734925435324
"9","Photosynthetic pigments",23,"carot",9.69379199133868e-09,0.0114552690426495,0.474312752709118,0.318388613717012,0.459034272725298,0.395250783593168,0.451765828508593
"31",NA,24,"s_Al",0.408758979686552,0.195360781300951,0.571315212767846,0.109380009059913,0.589294519733553,0.274296695846256,0.676524716444665
"32",NA,25,"s_Ca",8.33794994392623e-05,0.88927821091673,0.66355650687547,0.1303245707913,0.689287438998233,0.560331698647093,0.50740840018794
"33",NA,26,"s_K",0.047400772898855,0.0441593131278417,0.860802364875211,0.302923844736825,0.196797144449666,0.265075854104903,0.967964479196937
"35",NA,27,"s_Mn",0.303677137768314,0.0228309255702882,0.770533814692595,0.65719597261473,0.779491073124367,0.397994883834893,0.414989080881309
"36",NA,28,"s_P",0.526016822928652,0.21201092153703,0.0395836430948798,0.738003035583637,0.39337178306792,0.167020740385013,0.714429647716919
"34",NA,29,"s_Mg",3.38850543180058e-08,0.161607837191689,0.712735487752733,0.683131196289881,0.576154569937781,0.411038297250377,0.282753118871798
"37",NA,30,"s_Zn",0.295783698090706,0.226911534904628,0.978091831446906,0.392329863274063,0.956808871220185,0.985390683394604,0.420015016101703
"10",NA,31,"Chl_A",3.15591996979947e-12,0.0142863763251626,0.409009156058149,0.83534487276082,0.283109457898905,0.67088105265181,0.491372843194422
"11",NA,32,"Chl_B",7.26085858104852e-14,0.019489140095357,0.296597875980269,0.423175222776365,0.388220091403254,0.852622190123685,0.711076926531627
