Tree_ID,Stand,t.height.m,trmt,Ntrmt,Ptrmt,dbh.cm.2004,dbh.cm.2009,dbh.cm.2011,dbh.cm.2015
480,C7,24,Con,noN,noP,57.2,58,58.1,59.3
609,C7,20,N,yesN,noP,39,41,41.4,42.6
1297,C7,20,NP,yesN,yesP,48.4,49.6,49.2,49.3
571,C7,24,P,noN,yesP,62.5,62.8,63.3,64.5
250,C8,25,Con,noN,noP,45.8,48.1,49,50.7
30,C8,23,N,yesN,noP,40.4,40.7,40.8,40.8
928,C8,25,NP,yesN,yesP,52.2,52.9,52.9,52.9
249,C8,24,P,noN,yesP,42.9,47.5,47.5,49.5
79,C9,25,Con,noN,noP,52.7,54,55,55.7
320,C9,24,N,yesN,noP,39.2,,43.3,44
168,C9,22,NP,yesN,yesP,52.3,52.6,53.2,53.8
128,C9,23,P,noN,yesP,58.1,59.6,59.5,59.8
