Orig Tube#,relabeled,Stand,trmt,Ntrmt,Ptrmt,Tree.ID,ratio,dfromtop,area1,SLA,dry1,wetmass2_g,mass2_g,area2_cm2,twigLength_mm,twigMass_g
101,101-C8-P-249-24,C8,P,no,yes,249,0,0,321.1154868,62.96382094,2.61,6.8,2.868,353.446,43.57684211,0.154078947
102,102-C8-P-249-22,C8,P,no,yes,249,-0.2,-2,282.0768552,60.27283231,2.19,5.8,2.447,407.827,23.75386364,0.109604545
104,104-C8-P-249-18,C8,P,no,yes,249,-0.6,-6,368.2702312,86.24595578,1.78,6,2.219,476.033,14.38466667,0.051388889
105,105-C8-P-249-16,C8,P,no,yes,249,-0.8,-8,453.7474796,87.09164676,2.72,8.4,3.18,688.866,15.71473684,0.059307018
106,106-C8-P-249-14,C8,P,no,yes,249,-1,-10,668.5018888,122.2124111,2.98,7.3,2.699,620.134,28.8192,0.095844
107,107-C8-Con-250-25,C8,Con,no,no,250,0,0,343.8444736,66.50763513,2.68,5.6,2.323,371.471,29.82368421,0.199226316
108,108-C8-Con-250-23,C8,Con,no,no,250,-0.25,-2,539.9537588,95.3981906,3.17,5.8,2.064,491.921,22.05454545,0.099363636
109,109-C8-Con-250-21,C8,Con,no,no,250,-0.5,-4,603.902018,121.0224485,2.5,6.8,2.329,560.785,49.572,0.178973333
110,110-C8-Con-250-19,C8,Con,no,no,250,-0.75,-6,682.8954084,129.8280244,2.77,8.8,3.007,737.005,19.36083333,0.075755556
111,111-C8-Con-250-17,C8,Con,no,no,250,-1,-8,788.6951968,135.0505474,3.35,9.7,3.167,871.96,38.654,0.13344
112,112-C8-N-30-23,C8,N,yes,no,30,0,0,258.8510952,57.26794142,2.03,4.8,1.81,418.884,16.098,0.068115
113,113-C8-N-30-21,C8,N,yes,no,30,-0.333333333,-2,499.3796464,100.0760814,2.5,5.4,2.051,421.932,28.60034483,0.120127586
114,114-C8-N-30-19,C8,N,yes,no,30,-0.666666667,-4,608.6245892,112.2923596,2.93,7.5,2.793,602.16,44.05066667,0.15156
116,116-C8-NP-928-25,C8,NP,yes,yes,928,0,0,371.3282896,76.40499786,2.37,4.5,1.903,316.13,22.24085714,0.091202857
117,117-C8-NP-928-23,C8,NP,yes,yes,928,-0.25,-2,330.6315968,74.29923524,1.96,3.9,1.604,332.202,12.96708861,0.039560759
118,118-C8-NP-928-21,C8,NP,yes,yes,928,-0.5,-4,379.8831112,87.93590537,1.83,5.2,2.01,430.584,25.1596,0.109988
119,119-C8-NP-928-19,C8,NP,yes,yes,928,-0.75,-6,414.2701392,99.82412993,1.66,5.7,2.082,539.474,16.71375,0.051526563
120,120-C8-NP-928-17,C8,NP,yes,yes,928,-1,-8,384.6895532,92.47345029,1.67,7,2.413,611.481,20.23963636,0.068332727
121,121-C7-Con-480-24,C7,Con,no,no,480,0,0,262.3930236,48.23401169,2.95,5.4,2.465,276.439,15.34534247,0.081505479
122,122-C7-Con-480-22,C7,Con,no,no,480,-0.2,-2,334.4702988,62.40117515,2.87,3.7,1.643,231.737,11.23117647,0.052331933
123,123-C7-Con-480-20,C7,Con,no,no,480,-0.4,-4,324.9541888,62.73246888,2.69,4.3,1.912,284.13,12.51387097,0.053441935
124,124-C7-Con-480-18,C7,Con,no,no,480,-0.6,-6,409.7024064,72.64227064,3.15,5.1,2.494,399.787,10.50844156,0.046358442
125,125-C7-Con-480-16,C7,Con,no,no,480,-0.8,-8,474.2055032,88.14228684,2.89,4.9,2.091,337.18,10.75322917,0.041041667
126,126-C7-Con-480-14,C7,Con,no,no,480,-1,-10,555.3150184,101.1502766,3,4.1,1.803,312.145,11.20863014,0.035810959
128,128-C7-P-571-24,C7,P,no,yes,571,0,0,275.0510628,53.7209107,2.63,3.9,1.628,222.071,17.10622222,0.071941556
129,129-C7-P-571-22,C7,P,no,yes,571,-0.25,-2,309.3090588,69.19665745,1.98,4.5,1.91,266.946,14.26959459,0.050106757
130,130-C7-P-571-20,C7,P,no,yes,571,-0.5,-4,302.8445556,68.20823324,1.95,4.8,1.881,303.002,13.87857143,0.047112088
131,131-C7-P-571-18,C7,P,no,yes,571,-0.75,-6,249.870468,61.39323538,1.58,4.7,1.929,321.012,13.66411111,0.042086667
132,132-C7-NP-1297-20,C7,NP,yes,yes,1297,0,0,421.3152864,76.18721273,3.04,3.9,1.651,243.231,23.461875,0.11365625
133,133-C7-NP-1297-18,C7,NP,yes,yes,1297,-0.5,-2,805.7467756,119.5469993,4.25,7.3,2.756,505.775,70.692,0.355793333
134,134-C7-NP-1297-16,C7,NP,yes,yes,1297,-1,-4,534.5215116,109.0860228,2.41,12.1,4.668,968.788,47.75,0.235407407
135,135-C7-N-609-20,C7,N,yes,no,609,0,0,343.2380232,73.02936664,2.21,3.3,1.31,249.054,33.21780488,0.16104878
136,136-C7-N-609-18,C7,N,yes,no,609,-0.333333333,-2,444.4765304,90.34075821,2.43,3.9,1.42,302.494,27.61921053,0.107294737
137,137-C7-N-609-16,C7,N,yes,no,609,-0.666666667,-4,474.2506644,104.2309153,2.06,4.3,1.619,377.672,15.48615385,0.064265385
138,138-C7-N-609-14,C7,N,yes,no,609,-1,-6,607.4245916,123.9642024,2.41,5.6,1.995,564.194,14.27433962,0.036860377
139,139-C9-Con-79-25,C9,Con,no,no,79,0,0,408.0507968,72.09378035,3.17,4.7,2.012,311.423,15.168125,0.055204688
140,140-C9-Con-79-23,C9,Con,no,no,79,-0.25,-2,321.9412916,72.1841461,1.97,5.2,2.228,389.841,29.81846154,0.101976923
141,141-C9-Con-79-21,C9,Con,no,no,79,-0.5,-4,391.2701852,81.51462192,2.31,5.5,2.129,403.557,17.48802326,0.069909302
142,142-C9-Con-79-19,C9,Con,no,no,79,-0.75,-6,442.1668576,91.35678876,2.35,5.6,2.27,450.912,21.89083333,0.075966667
143,143-C9-Con-79-17,C9,Con,no,no,79,-1,-8,467.0442272,104.7184366,1.97,4.6,1.73,373.883,13.16407895,0.040127632
144,144-C9-NP-168-22,C9,NP,yes,yes,168,0,0,406.1153168,75.20654015,2.91,5.1,2.218,353.061,17.56090909,0.075879545
145,145-C9-NP-168-20,C9,NP,yes,yes,168,-0.2,-2,386.3734208,83.09105824,2.16,4.2,1.775,341.128,16.09819672,0.060314754
146,146-C9-NP-168-18,C9,NP,yes,yes,168,-0.4,-4,361.5992768,84.48581234,1.79,8,3.264,663.232,12.80478873,0.04228169
147,147-C9-NP-168-16,C9,NP,yes,yes,168,-0.6,-6,465.5281012,109.5360238,1.76,8.6,3.325,784.75,16.20245902,0.06225082
148,148-C9-NP-168-14,C9,NP,yes,yes,168,-0.8,-8,590.5665608,127.277276,2.15,9.8,3.558,978.079,34.26954545,0.099097273
149,149-C9-NP-168-12,C9,NP,yes,yes,168,-1,-10,482.7151636,116.5978656,1.65,6.5,2.465,732.332,13.90346154,0.048357692
150,150-C9-N-320-24,C9,N,yes,no,320,0,0,311.1090552,56.36033609,3.03,3.8,1.678,249.009,28.2197619,0.128614286
151,151-C9-N-320-22,C9,N,yes,no,320,-0.2,-2,367.8315224,70.33107503,2.74,4.1,1.828,248.041,36.542,0.162125
152,152-C9-N-320-20,C9,N,yes,no,320,-0.4,-4,372.1540944,75.94981518,2.41,5.4,2.251,381.129,17.48931818,0.054990909
153,153-C9-N-320-18,C9,N,yes,no,320,-0.6,-6,331.3993372,77.24926275,1.8,4.2,1.728,361.072,17.37757576,0.055193939
154,154-C9-N-320-16,C9,N,yes,no,320,-0.8,-8,450,96.77419355,2.16,7.4,2.896,668.337,23.81690909,0.067369091
155,155-C9-N-320-14,C9,N,yes,no,320,-1,-10,526.6699144,113.5064471,2.15,5.8,2.272,551.338,21.33305882,0.062175294
156,156-C9-P-128-23,C9,P,no,yes,128,0,0,408.6378924,63.55177176,3.94,4.8,1.983,325.348,35.1990625,0.164546875
157,157-C9-P-128-21,C9,P,no,yes,128,-0.25,-2,421.2959316,72.38761711,3.33,4.7,1.995,302.938,28.30372093,0.117476744
158,158-C9-P-128-19,C9,P,no,yes,128,-0.5,-4,500.6506116,91.69425121,2.97,7.5,3.036,541.935,41.52304348,0.185434783
159,159-C9-P-128-17,C9,P,no,yes,128,-0.75,-6,509.8505932,95.65677171,2.84,5.6,2.259,469.64,24.82413793,0.093927586
160,160-C9-P-128-15,C9,P,no,yes,128,-1,-8,578.5343268,121.2860224,2.28,8.3,3.125,717.427,43.8975,0.131508333
