"","Tube","Tree_ID","Stand","dbh_cm","t_height_m","trmt","Ntrmt","Ptrmt","dfromtop","scaled","mass_g","area_cm2","SLA","C","N","N_P","Al","B","Ca","Fe","K","Mg","Mn","P","S","Sr","Zn","s_Ca","s_K","s_Mg","s_Mn","s_Al","s_Zn","s_P","Put","Spd","Spm","Asp","Glu","Arg","Ala","GABA","Val","Ile","Leu","Lys","Pro","total_chl","Chl_A","Chl_B","Chl_R","carot","protein","moisture"
"1","1-101",249,"C8",49.5,24,"P treatment","noN","yesP",0,0,0.51,32.10961,62.96003,485.5701,15.6858,6.01069,0.02099,0.02441,7.62168,0.04181,11.49726,0.62446,1.6726,2.60965,1.85291,0.02187,0.0336,44.41825,78.51592,6.95748,9.00256,0.05827,0.06313,28.69383,35.10532,50.85256,43.73119,250.55166,234.80441,120.96289,400.70211,470.31093,55.5667,34.00201,55.8676,24.97492,132.2,1.3756,0.95573,0.41987,2.27623,0.32744,3.44358,0.578235294117647
"2","1-102",249,"C8",49.5,24,"P treatment","noN","yesP",-2,0.2,0.468,28.2064,60.27008,477.24652,17.73975,6.18039,0.02102,0.03292,9.73484,0.04317,12.01409,0.96061,1.29001,2.87033,1.99307,0.03652,0.03717,53.74574,70.46515,8.6378,6.01002,0.08094,0.13054,23.39127,15.87302,34.21517,13.40388,237.91887,215.07937,95.94356,408.73016,371.69312,53.26279,28.04233,67.37213,26.10229,113.58,2.27259,1.53131,0.74128,2.06577,0.37511,3.54082,0.578103448275862
"3","1-103",249,"C8",49.5,24,"P treatment","noN","yesP",-4,0.4,0.497,40.7096,81.91066,473.82382,17.33547,5.84752,0.01911,0.03429,10.43087,0.04184,12.27374,0.93718,1.40085,2.96458,1.89093,0.03531,0.0388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1-104",249,"C8",49.5,24,"P treatment","noN","yesP",-6,0.6,0.427,36.82573,86.24293,479.17287,17.86864,6.15365,0.0234,0.03543,10.00106,0.04451,12.06082,0.9393,1.37506,2.90375,1.79288,0.03709,0.0424,43.46636,64.4587,8.16411,5.3498,0.45117,0.05486,24.25065,14.25856,25.57034,11.88213,269.77186,271.19772,117.49049,468.63118,369.96198,49.42966,25.19011,72.24335,29.75285,102.19,3.02479,2.05161,0.97318,2.10815,0.521,3.33678,0.630166666666667
"5","1-105",249,"C8",49.5,24,"P treatment","noN","yesP",-8,0.8,0.521,45.3741,87.09041,479.47958,16.92492,6.28798,0.02166,0.03212,11.97828,0.04194,11.67035,1.08752,1.24262,2.69163,1.84219,0.0482,0.04098,65.1023,80.2118,11.13668,6.24861,0.07605,0.25439,27.87972,10.48218,23.89937,13.41719,218.65828,293.18658,208.1761,638.36478,575.78616,61.94969,29.87421,95.80713,32.59958,112.47,2.77097,1.87619,0.89479,2.09679,0.49877,3.30097,0.621428571428571
"6","1-106",249,"C8",49.5,24,"P treatment","noN","yesP",-10,1,0.547,66.85148,122.21477,473.6246,17.50375,5.3036,0.02602,0.03812,12.01325,0.04986,13.20635,0.98188,1.46184,3.30035,1.69521,0.04158,0.04301,67.47376,92.72989,11.97868,8.13795,0.05552,0.06883,33.41879,10,20.69767,17.2093,193.13953,413.02326,55.5814,621.27907,482.44186,66.39535,32.44186,101.97674,40.23256,101.05,3.67605,2.48351,1.19254,2.08254,0.55493,2.53411,0.63027397260274
"7","1-107",250,"C8",50.7,25,"Control","noN","noP",0,0,0.517,34.38703,66.51263,498.55461,15.92671,11.88664,0.01251,0.01717,8.30082,0.03667,9.25405,0.72997,0.70058,1.33988,1.42938,0.0334,0.03672,40.1752,57.04054,7.10535,3.5593,0.03922,0.10026,10.78132,27.52101,14.33824,15.33613,67.33193,98.26681,108.19328,283.61345,195.85084,33.61345,18.01471,57.03782,17.33193,101.21,1.78936,1.26346,0.5259,2.40248,0.36261,5.57617,0.585178571428571
"8","1-108",250,"C8",50.7,25,"Control","noN","noP",-2,0.25,0.566,53.99344,95.39477,493.89897,16.60051,13.49962,0.0119,0.01698,9.31487,0.03633,8.36178,0.77069,0.73475,1.2297,1.47103,0.03876,0.03471,43.8956,55.0871,7.31564,3.24248,NA,0.07961,9.35722,27.07736,20.05731,11.38968,109.24069,184.59885,77.50716,474.3553,252.07736,29.01146,12.82235,24.7851,21.20344,80.23,2.67601,1.87133,0.80468,2.32555,0.44751,4.74798,0.644137931034483
"9","1-109",250,"C8",50.7,25,"Control","noN","noP",-4,0.5,0.499,60.38698,121.01598,484.65369,19.00954,10.43541,0.014,0.02058,9.01424,0.04718,11.54304,0.87612,1.03729,1.82164,1.75709,0.03664,0.04281,45.64805,66.88281,9.28828,4.82363,0.0567,0.13774,13.76372,18.93305,19.76987,17.46862,187.23849,332.74059,77.92887,578.87029,202.82427,38.38912,17.46862,37.4477,40.79498,90.17,3.30299,2.28828,1.01471,2.25511,0.54794,3.12375,0.6575
"10","1-110",250,"C8",50.7,25,"Control","noN","noP",-6,0.75,0.526,68.29019,129.82925,478.31549,17.58951,12.58238,0.01444,0.02283,12.96189,0.04668,10.8959,1.16304,1.15616,1.39795,1.655,0.05943,0.04278,59.92546,55.93971,11.15428,4.84841,0.08437,0.06993,8.81851,11.26886,14.01952,11.71251,157.05413,264.06389,98.31411,449.95563,121.56167,21.73913,9.58296,24.04614,17.56877,56.7,3.18364,2.20279,0.98085,2.2458,0.53708,2.82051,0.658295454545455
