"","emm2","Fixed effect","variable"
"1",0.531770209776344,"intercept","mass_g"
"2",-0.0265479452072382,"Depth","mass_g"
"3",-0.0383048021520228,"N addition","mass_g"
"4",0.00219804608954432,"P addition","mass_g"
"5",0.0226829145344444,"Depth*N","mass_g"
"6",-0.0377149794533512,"Depth*P","mass_g"
"7",0.027856949346857,"N:P","mass_g"
"8",-0.0338172501478279,"Depth*N*P","mass_g"
"9",33.4137526789713,"intercept","area_cm2"
"10",26.4402468515212,"Depth","area_cm2"
"11",-1.4312393956686,"N addition","area_cm2"
"12",-2.15873846637717,"P addition","area_cm2"
"13",0.886151119793154,"Depth*N","area_cm2"
"14",-9.70300330856164,"Depth*P","area_cm2"
"15",11.6072007443667,"N:P","area_cm2"
"16",-6.98585411480749,"Depth*N*P","area_cm2"
"17",62.8019283093273,"intercept","SLA"
"18",54.1502408265964,"Depth","SLA"
"19",2.1431010495513,"N addition","SLA"
"20",-4.45230272532018,"P addition","SLA"
"21",0.917317078808228,"Depth*N","SLA"
"22",-13.490152412078,"Depth*P","SLA"
"23",16.6617698684022,"N:P","SLA"
"24",-4.69004576729921,"Depth*N*P","SLA"
"25",503.663001464929,"intercept","C"
"26",-20.9843486325461,"Depth","C"
"27",-8.83136538034443,"N addition","C"
"28",-9.37176126813852,"P addition","C"
"29",10.7336536050849,"Depth*N","C"
"30",8.57888449839213,"Depth*P","C"
"31",12.8657532271635,"N:P","C"
"32",-8.96354864901335,"Depth*N*P","C"
"33",16.579915868163,"intercept","N"
"34",1.25125767127863,"Depth","N"
"35",3.29407038586327,"N addition","N"
"36",-1.17755977763744,"P addition","N"
"37",-0.497719512683424,"Depth*N","N"
"38",1.49353742446403,"Depth*P","N"
"39",2.13363848719222,"N:P","N"
"40",0.837638937488702,"Depth*N*P","N"
"41",16.1924663008666,"intercept","N_P"
"42",0.80295040968464,"Depth","N_P"
"43",0.871412086500615,"N addition","N_P"
"44",-7.76286303186117,"P addition","N_P"
"45",-0.00128746524054908,"Depth*N","N_P"
"46",-0.241177588311624,"Depth*P","N_P"
"47",5.15749060439333,"N:P","N_P"
"48",-1.69544919174891,"Depth*N*P","N_P"
"49",0.0183427088076009,"intercept","Al"
"50",-0.00108739725948082,"Depth","Al"
"51",0.011123435388701,"N addition","Al"
"52",0.00147196163980179,"P addition","Al"
"53",-0.00254425918195681,"Depth*N","Al"
"54",0.00357611217761273,"Depth*P","Al"
"55",-0.00454885471351211,"N:P","Al"
