,Stand,Group,var2,variable,x,group,se,normalized
1,C7,Physical characteristics,SLA,SLA,2.903068897,C7 SLA,1.985511051,2.903068897
2,C8,Physical characteristics,SLA,SLA,2.659262222,C8 SLA,0.762641541,2.659262222
3,C9,Physical characteristics,SLA,SLA,1.207965953,C9 SLA,0.873676019,1.207965953
4,C7,Physical characteristics,leaf area,area_cm2,2.199036987,C7 area_cm2,1.618311948,2.199036987
5,C8,Physical characteristics,leaf area,area_cm2,5.243164955,C8 area_cm2,5.822912346,5.243164955
6,C9,Physical characteristics,leaf area,area_cm2,0.970037685,C9 area_cm2,1.291860028,0.970037685
7,C7,Physical characteristics,leaf mass,mass_g,-0.736420299,C7 mass_g,4.049726453,-0.736420299
8,C8,Physical characteristics,leaf mass,mass_g,-0.667241448,C8 mass_g,1.914209859,-0.667241448
9,C9,Physical characteristics,leaf mass,mass_g,-1.35079917,C9 mass_g,1.112945635,-1.35079917
10,C7,Elements,Ca,Ca,3.207535146,C7 Ca,2.315425331,3.207535146
11,C8,Elements,Ca,Ca,4.082780237,C8 Ca,6.059598263,4.082780237
12,C9,Elements,Ca,Ca,3.272252402,C9 Ca,4.322287894,3.272252402
13,C7,Elements,N,N,3.371987616,C7 N,3.145989685,3.371987616
14,C8,Elements,N,N,1.018911023,C8 N,0.924866624,1.018911023
15,C9,Elements,N,N,1.259255312,C9 N,0.69983618,1.259255312
16,C7,Elements,B,B,1.34178828,C7 B,0.844594259,1.34178828
17,C8,Elements,B,B,0.873223688,C8 B,1.462810103,0.873223688
18,C9,Elements,B,B,3.086856361,C9 B,6.309933112,3.086856361
19,C7,Elements,N:P,N_P,0.467711941,C7 N_P,2.110934902,0.467711941
20,C8,Elements,N:P,N_P,3.518248384,C8 N_P,7.494575229,3.518248384
21,C9,Elements,N:P,N_P,1.074818404,C9 N_P,4.527683147,1.074818404
22,C7,Elements,Zn,Zn,4.383778076,C7 Zn,3.84293282,4.383778076
23,C8,Elements,Zn,Zn,1.85017337,C8 Zn,1.135422298,1.85017337
24,C9,Elements,Zn,Zn,1.94015326,C9 Zn,1.739007593,1.94015326
25,C7,Elements,P,P,1.290163465,C7 P,1.110343958,1.290163465
26,C8,Elements,P,P,1.748001748,C8 P,3.549043274,1.748001748
27,C9,Elements,P,P,2.115079524,C9 P,7.722063489,2.115079524
28,C7,Elements,Mg,Mg,3.351214999,C7 Mg,1.932280032,3.351214999
29,C8,Elements,Mg,Mg,2.870267018,C8 Mg,2.263274519,2.870267018
30,C9,Elements,Mg,Mg,1.614698281,C9 Mg,2.649009163,1.614698281
31,C7,Elements,Mn,Mn,1.408736739,C7 Mn,1.720269575,1.408736739
32,C8,Elements,Mn,Mn,0.642522728,C8 Mn,0.904643032,0.642522728
33,C9,Elements,Mn,Mn,0.836488909,C9 Mn,3.703959191,0.836488909
34,C7,Elements,Al,Al,0.538183685,C7 Al,1.618180436,0.538183685
35,C8,Elements,Al,Al,0.056642906,C8 Al,2.535363756,0.056642906
36,C9,Elements,Al,Al,-0.828797171,C9 Al,1.465433326,-0.828797171
37,C7,Elements,C,C,-3.368441351,C7 C,2.15442138,-3.368441351
38,C8,Elements,C,C,-3.78114307,C8 C,3.956719555,-3.78114307
39,C9,Elements,C,C,-3.208714566,C9 C,3.22192002,-3.208714566
40,C7,Photosynthetic pigments,chlorophyll,total_chl,4.910090107,C7 total_chl,2.943272346,4.910090107
