"","Tree_ID","Stand","t.height.m","trmt","Ntrmt","Ptrmt","var","Al","Ala","area_cm2","Arg","Asp","B","C","Ca","carot","Chl_A","Chl_B","Chl_R","Fe","GABA","Glu","Ile","K","Leu","Lys","mass_g","Mg","Mn","moisture","N","N_P","P","Pro","protein","Put","S","s_Al","s_Ca","s_K","s_Mg","s_Mn","s_P","s_Zn","SLA","Spd","Spm","Sr","total_chl","Val","Zn"
"1",30,"C8",23,"N","yesN","noP","intercept",0.011808,391.15427,38.532828,95.856938,92.927292,0.016284,498.85218,7.20935,0.408916,1.518658,0.637542,2.3833,0.037064,234.494754,145.787418,17.136894,8.490268,44.979344,21.96181,0.5196,0.658814,0.713848,0.605561284343101,16.489546,12.061874,1.38571,100,5.321644,30.878494,1.436544,0.0548557142857143,36.49251,56.60901,6.717784,3.575908,11.51292,0.099556,75.25813,18.773772,14.92707,0.0288,2.1562,34.550404,0.033766
"3",79,"C9",25,"Con","noN","noP","intercept",0.0214860000000426,251.551002984715,29.6547779997019,180.699637974162,46.5236539946648,0.0259490000001374,496.560831998035,5.5460600001931,0.284058000016613,0.653851000111805,0.210337000057847,2.98140899988344,0.034740000001575,125.99527598334,138.548241995877,10.1827739964204,9.49701700017599,148.786898960566,14.4864899976092,0.50019999998182,0.595180000077346,1.87351600003559,0.580914700393518,12.1944200002077,8.2416329995556,1.52191300011969,67.5629999900928,5.77925399973362,13.2755509992829,1.3254510000315,0.0533010000013896,23.3137100002702,66.0618629968508,5.84159800038434,9.20726399917864,12.7200319997971,0.0171720000067632,59.8209530016182,15.4151890001233,10.671386999136,0.0124090000004014,0.864188000169652,19.7546879960406,0.0248110000012516
"5",128,"C9",23,"P","noN","yesP","intercept",0.0219833333333333,363.937055,53.0568833333333,3249.06424,107.212091666667,0.0301466666666667,496.051721666667,6.49341833333334,0.514086666666667,1.94068166666667,0.844728333333334,2.319955,0.040395,414.47971,217.673108333333,33.7843916666667,7.64357333333334,76.719675,145.06414,0.603833333333334,0.620695,2.39546333333333,0.585674994024932,17.36673,12.834785,1.34234166666667,157.77,5.40198333333333,86.497115,0.957655000000001,0.123235,31.1814966666667,52.75603,5.58136833333333,10.28872,10.6553266666667,0.0325483333333333,85.1533533333334,35.3605216666667,15.6442766666667,0.0173383333333333,2.78541,47.13934,0.0168583333333333
"7",168,"C9",22,"NP","yesN","yesP","intercept",0.030484,664.91005,35.410252,263.092676,198.857144,0.025026,499.261282,4.196032,0.386682,1.21778,0.442634,2.722616,0.06859,877.64246,327.408812,131.384016,11.578272,104.826732,29.88623,0.4728,0.369066,2.088288,0.573389010989011,22.732774,14.349192,1.512294,2581.334,4.489084,121.533326,1.274288,0.117896,22.609812,69.028646,5.094742,9.432646,10.547406,0.0281183333333333,74.658002,77.504438,10.120152,0.0075,1.660418,137.963464,0.012564
"9",249,"C8",24,"P","noN","yesP","intercept",0.0203839285712412,198.436409614278,26.2983357111749,110.810487483191,52.9468196338621,0.0316578571400316,504.524904645663,3.88253928485635,0.274538928538594,0.691084285534458,0.275272142762131,2.47141678577645,0.0493917857147354,299.149314955796,91.3260406956865,10.2941789256563,8.2586710708898,203.768524308668,11.5199957097155,0.549250000003429,0.290516071376155,1.37305071395453,0.54336834883851,15.3093121428416,15.5770292868891,0.976601428523833,120.630357140419,6.66910500029163,144.969013235817,1.27733142851277,0.0468421428577879,17.2942982125548,59.4780807162112,2.77604321412135,5.96286035616649,6.78620357146379,0.0485403571226944,46.7231203503636,29.4179732132503,24.0282053596794,0.00701499999776408,0.966352856868019,17.1511674956261,0.0159699999972715
"11",250,"C8",25,"Con","noN","noP","intercept",0.0197933333333333,375.056466162791,25.8703023809524,119.05270755814,257.368631860465,0.0280752380952381,481.558577142857,8.27820904761905,0.336486395348837,1.10355813953488,0.507788604651163,2.19340046511628,0.0410528571428572,409.532180813953,201.475597558139,30.4410711627907,11.5989128571429,55.2654331395349,23.5672874418605,0.475428571428572,0.766828571428572,1.49443190476191,0.576449614495533,16.6636433333333,6.17158238095238,2.68600761904762,125.085465116279,3.62135569767442,28.0717048837209,1.9401880952381,0.123351162790698,44.4131424418605,70.6635088372093,7.00231395348837,7.34336058139535,24.971146627907,0.08861,56.2290780952381,45.1957482558139,30.5567011627907,0.027092380952381,1.61134686046512,51.8553377906977,0.034892380952381
"13",320,"C9",24,"N","yesN","noP","intercept",0.0343729999978328,504.832622999313,34.3979940040401,123.967864038441,143.872726007282,0.025789999999094,489.392906997514,8.08199699964486,0.607098999994485,2.86569200001937,1.19551000006086,2.37851399991561,0.0655119999961762,449.059324986808,307.685754015895,36.9485229966719,8.69589200082768,72.1197470133084,38.5462309986289,0.47330000001248,1.15640499995604,2.62757699982914,0.610079023699796,18.1959870010169,14.4709570014846,1.25709599995896,119.384999993502,4.50823900015441,31.0659389990765,1.1997010000097,0.186196999998663,39.7542249981729,51.0207840032193,11.3527449992563,11.6652259992109,8.96324199963408,0.0484889999978214,72.8834930058333,25.4862690003645,9.9884150004808,0.0199229999990418,4.06120300008023,60.5114199959355,0.0329430000009168
"15",480,"C7",24,"Con","noN","noP","intercept",0.0308530000002028,516.797015089018,30.642517004901,90.2515633090117,151.939343359641,0.0219620000019242,496.998472998267,5.24080100018688,0.451731666772677,1.60266333374913,0.691650000213895,2.3452149999038,0.0564530000000828,514.52780348706,233.275126699103,67.925588378879,8.74083800066262,114.417435080668,36.9431733663063,0.4600000000075,0.687604000018725,1.97862400002504,0.621225617282585,16.951886000768,13.4705119995173,1.25296300011385,155.008333390388,5.88808666595389,54.2432250013835,1.00398600003869,0.128436666667617,20.5974466651792,52.2135149956324,6.03108999850025,5.45579000096108,8.08451999951094,0.01583,66.7759200088691,48.9930000290075,12.0310533306639,0.0193520000017322,2.29431333396302,76.03095505296,0.0204720000021072
"17",571,"C7",24,"P","noN","yesP","intercept",0.0265928571428571,523.736972857143,37.0297252380953,342.945171428571,70.9060380952381,0.047362380952381,499.319805238096,6.66093190476191,0.550118095238095,1.87028523809524,0.682522380952381,2.72238523809524,0.0520928571428572,393.181188571429,178.330374285714,32.1389447619048,7.61207571428572,65.9372700000001,25.2941238095238,0.501428571428572,0.801714285714286,1.81836095238095,0.566754977994264,22.4628557142857,16.1908828571429,1.40261619047619,265.551428571429,5.84407190476191,108.515251428571,1.34856142857143,0.114276190476191,31.1579861904762,48.0513295238095,6.75439619047619,7.30591190476191,9.37329857142858,0.0853876190476191,73.3289942857143,36.1869195238095,8.11793476190476,0.0198128571428572,2.55280761904762,42.3725880952381,0.02394
"19",609,"C7",20,"N","yesN","noP","intercept",0.022146,208.597194,35.846378,108.868018,65.50019,0.026754,507.83299,4.699262,0.45036,1.4584,0.622998,2.351842,0.044036,259.446068,127.890204,27.240636,8.981234,108.578238,10.688692,0.5248,0.349794,1.4784,0.569563530271763,17.885774,21.22957,0.845679999999999,134.06,5.597492,187.084856,1.407266,0.052758,22.214322,62.832566,3.106028,6.959134,5.838204,0.03235,67.491338,43.623512,9.418954,0.0109,2.081404,23.361484,0.024086
