"","Tree_ID","Stand","t.height.m","trmt","Ntrmt","Ptrmt","var","Al","Ala","area_cm2","Arg","Asp","B","C","Ca","carot","Chl_A","Chl_B","Chl_R","Fe","GABA","Glu","Ile","K","Leu","Lys","mass_g","Mg","Mn","moisture","N","N_P","P","Pro","protein","Put","S","s_Al","s_Ca","s_K","s_Mg","s_Mn","s_P","s_Zn","SLA","Spd","Spm","Sr","total_chl","Val","Zn"
"2",30,"C8",23,"N","yesN","noP","slope",0.00404,101.469284,41.305724,-15.641172,79.723192,0.008308,-25.9934320000002,8.017904,0.134708,0.90424,0.460996,-0.196164,0.010428,-111.240756,167.413872,-6.52914,4.472336,-19.338128,4.991468,0.0376000000000001,0.623636,0.439532,0.0763242759728721,1.68860000000001,0.351951999999999,0.0931000000000003,-46.972,-3.039924,-27.333544,0.37374,-0.0167657142857143,31.473624,6.815476,5.168528,1.080492,-3.034524,-0.004112,68.605896,-6.66142800000001,-2.842956,0.037836,1.365236,-10.199396,0.0167
"4",79,"C9",25,"Con","noN","noP","slope",-0.0026070000000852,14.66988903057,-2.45805599940387,-69.6194309483234,4.60763701067032,0.0066569999997252,-7.50879899606945,2.23847999961381,0.134123999966774,0.605927999776391,0.293585999884306,-0.471917999766888,0.00130499999685,-23.0589269666799,20.0862060082464,2.20663200715923,-0.673824000351978,-163.726667921131,-1.26289499521841,-0.09539999996364,0.222389999845308,0.676727999928821,0.0160801623153458,1.50568499958456,-0.791090999111201,0.301568999760621,-7.14599998018562,-1.68034799946724,-6.4255619985658,0.0172529999369928,0.0140129999972208,13.3984049994596,-16.0222559937016,1.68125399923132,0.0720120016427164,-0.174863999594287,0.0158009999864736,6.61283399676354,2.70952199975345,-4.34405399827195,0.0053369999991972,0.899513999660697,3.44819400791869,0.0017879999974968
"6",128,"C9",23,"P","noN","yesP","slope",-0.00156000000000001,41.4177299999998,11.32256,-3460.76166,7.00296999999995,0.01818,-6.22785000000026,1.59431,0.12114,0.719689999999999,0.29753,0.00998999999999848,0.01031,-30.9507400000002,46.9776899999999,-23.74899,3.101,-47.06265,-137.63048,-0.0630000000000005,0.0881699999999998,1.20556,0.0375482093663907,1.32533999999999,-1.79333000000001,0.371749999999999,-60.18,-1.38854,-26.51217,0.217429999999999,-0.0337700000000001,2.34101999999997,-1.93356000000002,0.762889999999997,3.65724,0.0320199999999948,0.04701,32.90216,13.59501,-5.97454000000001,0.000929999999999993,1.01722,-18.6358,0.02337
"8",168,"C9",22,"NP","yesN","yesP","slope",0.00272400000000001,-201.064204,4.41289199999999,-158.58734,-50.756228,0.027496,-16.9917320000001,8.17654,0.236424,1.871572,0.968068,-0.621275999999999,5.99999999999965e-05,-720.650352,28.0353200000002,-150.172044,-2.29914,-105.836568,-25.212696,-0.068,1.262292,2.134696,0.080947239894608,4.30216799999999,-3.433032,1.025192,-3135.324,-1.527844,-114.547936,0.387452,0.00339600000000002,20.327788,-26.180644,7.571916,5.272472,4.446652,-0.00577000000000001,23.061788,-61.644512,15.681184,0.021508,2.839636,-145.625996,0.026832
"10",249,"C8",24,"P","noN","yesP","slope",-0.00701357142819673,192.874146485729,28.0851942919359,40.8964907479039,30.9451607322758,-0.00296142856577755,-18.6444235770404,2.36767285885873,0.244167857208527,1.33925142893108,0.623292857332881,-0.240267857267187,-0.0168578571437565,30.5309443741225,87.2263500371985,11.167767862973,-0.467942141779606,-213.446331474479,10.3345542948547,-0.0345000000068572,0.183507857247689,0.192784286376644,0.0156371237444173,0.942467142888199,4.2070242833647,-0.13313999990481,-14.9892857094097,-2.10833571486898,-115.970415043062,-0.0286371427398346,0.03902999999871,15.0131978606046,-6.94827857527962,2.46080785747158,0.882233573381297,-0.606750000070449,-0.0277007142453888,58.91319644213,-2.53547785507201,-20.1895307193587,0.00902142857590041,1.96254857197825,12.6238650087477,0.00447428571974265
"12",250,"C8",25,"Con","noN","noP","slope",0.00447999999999999,254.778834302325,31.6183685714286,1.11188546511626,-44.9242151162791,0.00961285714285713,-6.81132428571462,4.03690857142857,0.228776162790698,1.30021511627907,0.647198837209302,-0.129816279069767,0.0056042857142857,85.589671511628,161.505135465116,-1.02109069767442,1.04304428571428,44.976840116279,13.7791395348837,0.0391428571428569,0.309992857142857,-0.174537142857144,0.059984569466855,1.02549,-0.415221428571429,0.408081428571427,-24.5912790697674,-0.750199418604651,-21.0151709302325,-0.191312857142857,0.0404593023255813,20.0541145348837,12.7168906976744,4.56276162790698,-0.756870348837209,4.91481802325581,0.0495,54.4381371428571,-27.2090889534884,-20.4383906976744,0.0193385714285714,1.94740988372093,10.5105773255814,0.00886857142857142
"14",320,"C9",24,"N","yesN","noP","slope",-0.0071009999956656,-28.3170809986259,24.6715619919198,17.3299919231172,-41.919207014564,-0.010049999998188,-6.19821899502787,-0.0235889992897177,-0.0181379999889707,0.0885059999612499,0.243134999878284,-0.320552999831225,-0.00852899999235242,-209.386004973616,-55.7359980317905,-25.5577259933439,4.16865599834463,87.7046609733832,-26.5130819972578,0.00689999997504014,-0.103634999912088,-1.03113899965828,0.032925008110788,2.35946099796618,5.38764599703083,-0.233636999917916,-61.334999987004,-0.374688000308819,-14.1807779981531,0.240812999980607,-0.149483999997326,-9.7938899963458,17.3765219935614,-1.24181999851259,-6.21388199842185,-3.22592399926815,0.00446700000435721,50.0116889883334,-4.87036800072895,-0.0714450009615912,0.000894000001916403,0.331643999839538,-39.429059991871,0.00290399999816641
"16",480,"C7",24,"Con","noN","noP","slope",-0.0077010000004056,196.133834732945,40.8986309901979,49.4268300729649,112.510469921077,0.0055709999961516,-9.20684099653408,1.47940799962623,0.15634499968197,0.631379998752615,0.296339999358315,-0.101684999711401,-0.0129510000001656,344.398949538819,196.812089902692,-26.9041951366369,0.356498998674765,-45.0027152420054,-1.93713009891886,0.101999999985,0.0869669999625492,0.73102199994992,0.00702500000409651,0.622937998464064,-1.55547899903462,0.229823999772296,42.4649998288349,-1.62818999786168,35.3536649958494,-0.0176670000773892,0.14324999999715,46.1000700044624,38.6026350131029,2.35536000449925,20.3209799971168,6.20493000146719,0.0283349999858325,62.6831249822618,34.2232199129775,3.39930000800818,0.00432599999653559,0.927719998110929,-15.7754251588798,0.0024509999957856
"18",571,"C7",24,"P","noN","yesP","slope",0.00246428571428571,-30.940965714286,15.7059628571428,-374.264802857143,33.1519671428572,0.00237857142857141,-8.10824714285746,1.70121285714285,0.197317142857143,1.54508285714286,0.765528571428571,-0.408967142857144,0.0170942857142857,-250.188677142857,77.4555614285714,-19.6518128571429,1.24114857142857,11.45082,15.0038557142857,-0.0908571428571431,0.457471428571429,-0.00768857142857213,0.0683430743112479,3.25439857142857,1.38714428571428,0.0569342857142854,-247.062857142857,-2.47619714285714,-81.6614028571428,0.264777142857142,-0.0771457142857143,0.837264285714279,-17.5118657142857,3.28948428571428,-1.07525714285715,-3.57935714285715,-0.0574785714285714,52.0781914285714,-10.3962157142857,9.40537714285714,0.00511428571428571,2.31061142857143,-21.7213028571429,0.01431
"20",609,"C7",20,"N","yesN","noP","slope",0.00116,160.570256,9.52772400000003,-19.519292,18.994236,0.00840400000000001,-18.887172,2.1085,0.254996,1.228672,0.537696,-0.0483119999999996,0.00203600000000002,-60.1422919999999,109.758632,-8.02865600000001,1.388608,-92.770368,10.657692,-0.0807999999999998,0.36688,0.0867319999999998,0.05084027813075,1.19818800000001,-2.982232,0.199088,-35.104,-1.40232,-179.09354,0.0985719999999998,0.066392,14.955044,4.98506,5.177852,0.88322,1.601808,0.098652,33.767352,-20.90462,-0.426099999999997,0.00908,1.766352,7.96381199999999,0.011524
