Leaf characteristics,,Depth,N,P,depth*N,depth*P,N*P,depth*N*P
Physical characteristics,,,,,,,,
,mass_g,0.009,0.449,0.687,0.874,0.087,0.844,0.587
,area_cm2,0,0.599,0.605,0.609,0.021,0.487,0.527
,SLA,0,0.234,0.596,0.812,0.033,0.368,0.745
,,,,,,,,
Photosynthetic pigments,,,,,,,,
,total_chl,0,0.015,0.353,0.827,0.354,0.726,0.618
,carot,0,0.011,0.457,0.227,0.429,0.385,0.422
,,,,,,,,
Foliar Elements,,,,,,,,
,N,0,0.01,0.53,0.96,0.07,0.35,0.69
,P,0.01,0.32,0,0.51,0.02,0.12,0.41
,Ca,0,0.92,0.85,0.5,0.62,0.97,0.33
,Fe,0.3,0.01,0.75,0.78,0.03,0.94,0.74
,Mn,0,0.01,0.26,0.38,0.11,0.78,0.36
,Al,0.86,0.01,0.55,0.43,0.05,0.42,0.73
,B,0,0.21,0,0.96,0,0.1,0.53
,,,,,,,,
Amino acids,,,,,,,,
,Ala,0.12,0.01,0.62,0,0.48,0.81,1
,GABA,0,0.2,0.65,0.01,0.34,0.52,0.14
,Arg,0.01,0.29,0.37,0.01,0.3,0.51,0.25
,Glu,0,0.06,0.32,0.03,0.68,0.58,0.77
,Val,0.01,0.09,0.3,0.01,0.27,0.63,0.39
Polyamines,,,,,,,,
,Put,0,0.82,0.83,0.19,0.83,0.5,0.13
,Spd,0.03,0.33,0.5,0.83,0.38,0.8,0.5
,Spm,0.67,0.75,0.4,0.01,0.41,0.29,0.98
,,,,,,,,
Extra variables,,,,,,,,
Leaf characteristics,,Depth,N,P,depth*N,depth*P,N*P,depth*N*P
,Asp,0.3,0.5,0.4,0.4,0.2,0.3,0.4
,C,0,0.8,0.8,0,0.2,0.2,0.1
,Chl_A,0,0,0.4,1,0.3,0.7,0.5
,Chl_B,0,0,0.3,0.5,0.5,0.9,0.8
,Chl_R,0,0.6,0.2,0.3,0.3,1,0.5
,Ile,0,0.3,0.4,0,0.2,0.7,0.5
,K,0,0.2,0.3,0.6,0.4,0.7,0.9
,Leu,0,0.9,0.6,0.2,0.7,0.6,0.2
,Lys,0.1,0.1,0.6,0,0.7,0.5,0.8
,Mg,0,0.1,1,0.5,0.2,0.5,0.3
,moisture,0,0.4,0.8,0.4,0.7,0.8,0.1
,N_P,0.7,0,0,0.5,0.4,0.1,0.5
,Pro,0,0.5,0.2,0.1,0,0.5,0.1
,protein,0,0.9,0.3,0.6,0.7,0.6,0.2
,S,0,0.1,0.3,0.2,0.7,0.8,0.5
,s_Al,0.3,0.2,0.6,0.1,0.6,0.3,0.6
,s_Ca,0,0.9,0.7,0.1,0.7,0.6,0.5
,s_K,0.1,0,0.9,0.3,0.2,0.3,1
,s_Mg,0,0.2,0.7,0.5,0.6,0.4,0.3
,s_Mn,0.4,0,0.8,0.8,0.7,0.4,0.4
,s_P,0.5,0.2,0,0.7,0.4,0.2,0.7
,s_Zn,0.3,0.2,1,0.4,0.9,1,0.5
,Sr,0,0.7,0.7,0.1,0.5,1,0.4
,Zn,0,0.64,0.87,0.05,0.18,0.74,0.13
