"","leaf.char","variable","mean.slope","slope.pval","type","N","P","N*P","type.1","N.1","P.1","N*P.1","type.2","N.2","P.2","N*P.2","vord"
"60","Physical characteristics","mass_g","-0.0413119047627763","0.0768242333780853","Slope",0.372894289951141,0.0499023172123959,0.840309420313116,"Intercept",0.708494117894239,0.0878668784995754,0.59999573545975,"Average",0.502602018836178,0.731797880638863,0.800597156849141,1
"57","Physical characteristics","area_cm2","20.0737693205065","0.000363553560297184","Slope",0.838121390344234,0.30041565576986,0.662400055360731,"Intercept",0.652707967823495,0.315001053099494,0.217390194736103,"Average",0.567146095577895,0.609268373099231,0.463967580253259,2
"63","Physical characteristics","SLA","45.9669433674574","2.67080357094216e-06","Slope",0.770276658871853,0.990919321700624,0.473047798085589,"Intercept",0.611300599735137,0.956978194521629,0.232743807147917,"Average",0.212152715681884,0.578281054375837,0.347476600253021,3
"105",NA,"protein","-1.74630537997357","5.85832151286266e-06","Slope",0.753156980422627,0.281665115590441,0.825403881541976,"Intercept",0.436071761812218,0.381963516922065,0.385918289524514,"Average",0.97274329595352,0.322331562975889,0.738406820982314,4
"54","Photosynthetic pigments","total_chl","1.72883606158539","1.58130428658649e-05","Slope",0.177295516103958,0.0105385402743629,0.107325424103562,"Intercept",0.490560646797487,0.573178262198855,0.149297816398164,"Average",0.0192563064783063,0.458916225605631,0.639003418923269,5
"48","Photosynthetic pigments","carot","0.177499299257297","1.1266490751372e-05","Slope",0.901749071426384,0.232088034273597,0.356735192434285,"Intercept",0.479228505368871,0.946789737828439,0.21805979823667,"Average",0.0142594074037762,0.553866357303392,0.329826827368907,6
"51","Photosynthetic pigments","Chl_R","-0.279389177970539","0.000383575293687781","Slope",0.298616322649367,0.211282240147081,0.154462611616723,"Intercept",0.92841895835442,0.321325928436361,0.314889856820341,"Average",0.677085758360367,0.190599650786259,0.941032458141131,7
"21","Elements","C","-13.4914111184847","3.79712679159453e-05","Slope",0.0583943425992269,0.567056006383866,0.776511562263577,"Intercept",0.355704558008749,0.231578977054865,0.44726445994481,"Average",0.816534195372801,0.775317118649678,0.198498510029303,8
"33","Elements","N","1.96493590443239","0.00222528028209071","Slope",0.324280515060764,0.286839415092101,0.736776983441363,"Intercept",0.159562621097559,0.0742878913810608,0.823130074585851,"Average",0.0145588615690041,0.535274027332949,0.354222974445722,9
"39","Elements","P","0.20328569045204","0.0509539154571507","Slope",0.979291513201369,0.708203424949627,0.16832721662741,"Intercept",0.353307339923747,0.513565340373752,0.155355989517939,"Average",0.31213191007407,0.00212677228916321,0.120396598178821,10
"36","Elements","N_P","0.187889547330331","0.818725480615314","Slope",0.987065331895066,0.835601643296846,0.333670601310362,"Intercept",0.16598252952572,0.298789796034935,0.314064760600807,"Average",0.0164968351541853,0.000739701339780438,0.056881974764595,11
"24","Elements","Ca","3.4055662025198","0.000800643889467968","Slope",0.141048255708639,0.556659934960105,0.302567801265618,"Intercept",0.68339155801383,0.166974343613208,0.465215121599242,"Average",0.925493066741179,0.852984041226122,0.988320033860981,12
"27","Elements","Mg","0.416959678571479","0.0029437423407258","Slope",0.0352611725637341,0.0604953841757944,0.0879359869507448,"Intercept",0.791875994931628,0.262436033163654,0.623194577429154,"Average",0.083196839368793,0.99499735784366,0.483377840708524,13
"30","Elements","Mn","0.505336369121187","0.0496526198151129","Slope",0.73349984818297,0.0817565794445765,0.100837543375991,"Intercept",0.73649272470414,0.674438816493457,0.85360948225231,"Average",0.00675794739284969,0.222035749472269,0.798630317999613,14
"15","Elements","Al","-0.000331238094886572","0.81294284616117","Slope",0.272873571893052,0.516044116881164,0.496286410869115,"Intercept",0.989821969445404,0.949101336158477,0.750190956482275,"Average",0.00715407924008674,0.586479291525078,0.394424062270596,15
"18","Elements","B","0.00863669047646879","0.0155460299420962","Slope",0.47244247890015,0.1934012496613,0.131795161465309,"Intercept",0.187577802913931,0.0516897903552026,0.457850531038706,"Average",0.191042195240467,0.00106767380111485,0.0886415735518587,16
"45","Elements","Zn","0.0131921309521231","0.000479040141393533","Slope",0.0713309771055071,0.0161336416767015,0.623405188697221,"Intercept",0.704659359107234,0.0152632329527725,0.510306423046402,"Average",0.631732198172109,0.876939462696125,0.74195900985104,17
"42","Elements","S","0.182872845234555","0.0113855147675566","Slope",0.00593987286814473,0.0337182488389856,0.765491209594577,"Intercept",0.877163877764727,0.416346946416208,0.528016801275508,"Average",0.0973168493591365,0.339745915081525,0.755783671980695,18
"3","Amino acids","Ala","53.662309177031","0.191921231395272","Slope",0.0646175929586851,0.0493211414901442,0.481916032438647,"Intercept",0.606646360597611,0.652524512113404,0.516202528385129,"Average",0.00604339401333908,0.709238897292458,0.696838351520449,19
"6","Amino acids","GABA","-104.901835733453","0.175928963312972","Slope",0.0568248451774739,0.0972607337799028,0.995492177266958,"Intercept",0.382494359819841,0.180390677368341,0.236652396566499,"Average",0.1822580988573,0.718213976999957,0.476782394230358,20
"9","Amino acids","Glu","87.5786316151219","0.00223308300093749","Slope",0.55049160082693,0.494007712708193,0.400670709392591,"Intercept",0.539025081238652,0.921364852062923,0.578889093306569,"Average",0.0653915832952785,0.309961722898357,0.5885692683552,21
"12","Amino acids","Val","-21.1039329721372","0.111186542836299","Slope",0.170790020234049,0.231097157109845,0.394471252689284,"Intercept",0.561704938514234,0.691398787378114,0.308839806330005,"Average",0.0621013810407604,0.486231304758862,0.451090484152435,22
"66","Polyamines","Put","-65.6136237954661","0.00833987925312192","Slope",0.155547011836462,0.148770891012044,0.656757419847426,"Intercept",0.191234644490353,0.0439836842002316,0.752326083778013,"Average",0.935266756792178,0.897150127444257,0.528540587853424,23
"69","Polyamines","Spd","-8.50540688423702","0.226746564348017","Slope",0.159261502675922,0.494585712927668,0.639548641021856,"Intercept",0.43990112537283,0.232844299688208,0.146852044794823,"Average",0.29192118205147,0.577675770929146,0.771405706707017,24
"72","Polyamines","Spm","-0.661217843545349","0.842944743659032","Slope",0.0300505203656037,0.136713160632917,0.230365013216986,"Intercept",0.0384635489846395,0.276374770811772,0.564092066079649,"Average",0.726024533433372,0.339963485694395,0.253276498637409,25
"81",NA,"Chl_A","1.15321940245122","2.15030506538197e-05","Slope",0.243595858267751,0.0114869613940827,0.11888955305159,"Intercept",0.47158056307986,0.630852265207862,0.155384739729544,"Average",0.017330646499324,0.50139199120135,0.59323393076852,26
"84",NA,"Chl_B","0.575617724471924","1.04528798512751e-05","Slope",0.103520551557398,0.0124219197403642,0.105991248714877,"Intercept",0.541039588363379,0.454561048408296,0.139237506810101,"Average",0.0257798260923945,0.383722132724056,0.745819899304393,27
"87",NA,"Fe","0.00251280952409557","0.428549487040211","Slope",0.61643994057416,0.42165938254737,0.977307449486405,"Intercept",0.380428406012762,0.494685786668745,0.784954868850167,"Average",0.00784376249569298,0.733660488255347,0.953200529384986,28
