,leaf.char,variable,height,N,P,height*N,height*P,N*P,height*N*P,height.adj,N.adj,P.adj,heightN.adj,heightP.adj,NP.adj
20,Physical characteristics,mass_g,0.009,0.449,0.687,0.874,0.087,0.844,0.587,0.995,0.922,0.981,0.985,0.902,0.984
3,Physical characteristics,area_cm2,0.000,0.599,0.605,0.609,0.021,0.487,0.527,0.995,0.922,0.981,0.985,0.899,0.984
38,Physical characteristics,SLA,0.000,0.234,0.596,0.812,0.033,0.368,0.745,0.995,0.922,0.981,0.985,0.902,0.984
28,NA,protein,0.000,0.877,0.328,0.576,0.720,0.595,0.218,0.995,0.922,0.981,0.985,0.902,0.984
42,Photosynthetic pigments,total_chl,0.000,0.015,0.353,0.827,0.354,0.726,0.618,0.995,0.560,0.981,0.985,0.902,0.984
9,Photosynthetic pigments,carot,0.000,0.011,0.457,0.227,0.429,0.385,0.422,0.995,0.457,0.981,0.985,0.902,0.984
12,Photosynthetic pigments,Chl_R,0.000,0.637,0.170,0.263,0.254,0.983,0.506,0.995,0.922,0.981,0.985,0.902,0.984
7,Elements,C,0.000,0.813,0.752,0.040,0.166,0.190,0.146,0.995,0.922,0.981,0.985,0.902,0.984
24,Elements,N,0.000,0.014,0.529,0.964,0.072,0.348,0.686,0.995,0.535,0.981,0.985,0.902,0.984
26,Elements,P,0.007,0.317,0.002,0.514,0.016,0.118,0.406,0.995,0.922,0.090,0.985,0.706,0.984
25,Elements,N_P,0.682,0.017,0.001,0.522,0.430,0.055,0.527,0.995,0.606,0.031,0.985,0.902,0.984
8,Elements,Ca,0.000,0.920,0.846,0.504,0.622,0.974,0.332,0.995,0.922,0.981,0.985,0.902,0.984
21,Elements,Mg,0.000,0.090,0.969,0.510,0.178,0.489,0.255,0.995,0.922,0.981,0.985,0.902,0.984
22,Elements,Mn,0.004,0.012,0.261,0.379,0.110,0.783,0.355,0.995,0.464,0.981,0.985,0.902,0.984
1,Elements,Al,0.859,0.010,0.547,0.430,0.052,0.415,0.728,0.995,0.434,0.981,0.985,0.902,0.984
6,Elements,B,0.000,0.214,0.001,0.958,0.004,0.096,0.528,0.995,0.922,0.060,0.985,0.159,0.984
44,Elements,Zn,0.000,0.642,0.868,0.046,0.183,0.735,0.126,0.995,0.922,0.981,0.985,0.902,0.984
30,Elements,S,0.001,0.097,0.325,0.221,0.708,0.750,0.497,0.995,0.922,0.981,0.985,0.902,0.984
2,Amino acids,Ala,0.121,0.006,0.620,0.003,0.476,0.809,0.995,0.995,0.258,0.981,0.133,0.902,0.984
14,Amino acids,GABA,0.002,0.200,0.653,0.006,0.338,0.515,0.135,0.995,0.922,0.981,0.234,0.902,0.984
15,Amino acids,Glu,0.000,0.061,0.323,0.028,0.676,0.579,0.768,0.995,0.922,0.981,0.985,0.902,0.984
43,Amino acids,Val,0.012,0.092,0.300,0.005,0.273,0.632,0.386,0.995,0.922,0.981,0.189,0.902,0.984
29,Polyamines,Put,0.000,0.822,0.829,0.188,0.829,0.498,0.131,0.995,0.922,0.981,0.985,0.902,0.984
39,Polyamines,Spd,0.034,0.333,0.504,0.830,0.379,0.798,0.504,0.995,0.922,0.981,0.985,0.902,0.984
40,Polyamines,Spm,0.671,0.746,0.400,0.007,0.413,0.289,0.975,0.995,0.922,0.981,0.291,0.902,0.984
10,NA,Chl_A,0.000,0.014,0.395,0.985,0.321,0.670,0.542,0.995,0.538,0.981,0.985,0.902,0.984
11,NA,Chl_B,0.000,0.019,0.283,0.503,0.459,0.855,0.823,0.995,0.663,0.981,0.985,0.902,0.984
13,NA,Fe,0.299,0.006,0.753,0.775,0.027,0.938,0.737,0.995,0.274,0.981,0.985,0.902,0.984
17,NA,K,0.022,0.237,0.305,0.649,0.432,0.708,0.918,0.995,0.922,0.981,0.985,0.902,0.984
41,NA,Sr,0.000,0.682,0.659,0.106,0.528,0.981,0.379,0.995,0.922,0.981,0.985,0.902,0.984
4,NA,Arg,0.010,0.289,0.373,0.005,0.295,0.507,0.249,0.995,0.922,0.981,0.189,0.902,0.984
5,NA,Asp,0.255,0.464,0.414,0.418,0.152,0.272,0.435,0.995,0.922,0.981,0.985,0.902,0.984
16,NA,Ile,0.002,0.276,0.427,0.012,0.165,0.704,0.512,0.995,0.922,0.981,0.442,0.902,0.984
18,NA,Leu,0.004,0.922,0.634,0.154,0.659,0.621,0.227,0.995,0.922,0.981,0.985,0.902,0.984
19,NA,Lys,0.076,0.119,0.602,0.002,0.722,0.521,0.778,0.995,0.922,0.981,0.104,0.902,0.984
27,NA,Pro,0.007,0.475,0.213,0.059,0.027,0.470,0.128,0.995,0.922,0.981,0.985,0.902,0.984
31,NA,s_Al,0.330,0.196,0.563,0.134,0.633,0.276,0.596,0.995,0.922,0.981,0.985,0.902,0.984
32,NA,s_Ca,0.000,0.888,0.656,0.088,0.681,0.565,0.472,0.995,0.922,0.981,0.985,0.902,0.984
33,NA,s_K,0.063,0.045,0.857,0.328,0.181,0.266,0.980,0.995,0.922,0.981,0.985,0.902,0.984
35,NA,s_Mn,0.404,0.023,0.771,0.758,0.677,0.400,0.409,0.995,0.769,0.981,0.985,0.902,0.984
36,NA,s_P,0.545,0.212,0.040,0.719,0.362,0.168,0.686,0.995,0.922,0.981,0.985,0.902,0.984
34,NA,s_Mg,0.000,0.162,0.702,0.545,0.598,0.413,0.288,0.995,0.922,0.981,0.985,0.902,0.984
37,NA,s_Zn,0.308,0.226,0.981,0.400,0.902,0.984,0.478,0.995,0.922,0.981,0.985,0.902,0.984
23,NA,moisture,0.000,0.384,0.791,0.443,0.676,0.799,0.148,0.995,0.922,0.981,0.985,0.902,0.984
