,leaf.char,variable,depth,N,P,height*N,height*P,N*P,height*N*P
,Physical characteristics,mass_g,0.01,0.45,0.69,0.87,0.09,0.84,0.59
,Physical characteristics,area_cm2,< 0.01,0.60,0.60,0.61,0.02,0.49,0.53
,Physical characteristics,SLA,< 0.01,0.23,0.60,0.81,0.03,0.37,0.74
,NA,protein,< 0.01,0.88,0.33,0.58,0.72,0.60,0.22
,Photosynthetic pigments,total_chl,< 0.01,0.02,0.35,0.83,0.35,0.73,0.62
,Photosynthetic pigments,carot,< 0.01,0.01,0.46,0.23,0.43,0.39,0.42
,Photosynthetic pigments,Chl_R,< 0.01,0.64,0.17,0.26,0.25,0.98,0.51
,Elements,C,< 0.01,0.81,0.75,0.04,0.17,0.19,0.15
,Elements,N,< 0.01,0.01,0.53,0.96,0.07,0.35,0.69
,Elements,P,0.01,0.32,< 0.01,0.51,0.02,0.12,0.41
,Elements,N_P,0.68,0.02,< 0.01,0.52,0.43,0.05,0.53
,Elements,Ca,< 0.01,0.92,0.85,0.50,0.62,0.97,0.33
,Elements,Mg,< 0.01,0.09,0.97,0.51,0.18,0.49,0.26
,Elements,Mn,< 0.01,0.01,0.26,0.38,0.11,0.78,0.35
,Elements,Al,0.86,0.01,0.55,0.43,0.05,0.41,0.73
,Elements,B,< 0.01,0.21,0.00,0.96,0.00,0.10,0.53
,Elements,Zn,< 0.01,0.64,0.87,0.05,0.18,0.74,0.13
,Elements,S,< 0.01,0.10,0.32,0.22,0.71,0.75,0.50
,Amino acids,Ala,0.12,0.01,0.62,< 0.01,0.48,0.81,1.00
,Amino acids,GABA,< 0.01,0.20,0.65,0.01,0.34,0.51,0.13
,Amino acids,Glu,< 0.01,0.06,0.32,0.03,0.68,0.58,0.77
,Amino acids,Val,0.01,0.09,0.30,< 0.01,0.27,0.63,0.39
,Polyamines,Put,< 0.01,0.82,0.83,0.19,0.83,0.50,0.13
,Polyamines,Spd,0.03,0.33,0.50,0.83,0.38,0.80,0.50
,Polyamines,Spm,0.67,0.75,0.40,0.01,0.41,0.29,0.97
,NA,Chl_A,< 0.01,0.01,0.40,0.99,0.32,0.67,0.54
,NA,Chl_B,< 0.01,0.02,0.28,0.50,0.46,0.86,0.82
,NA,Fe,0.30,0.01,0.75,0.77,0.03,0.94,0.74
,NA,K,0.02,0.24,0.31,0.65,0.43,0.71,0.92
,NA,Sr,< 0.01,0.68,0.66,0.11,0.53,0.98,0.38
,NA,Arg,0.01,0.29,0.37,0.00,0.29,0.51,0.25
,NA,Asp,0.26,0.46,0.41,0.42,0.15,0.27,0.44
,NA,Ile,< 0.01,0.28,0.43,0.01,0.16,0.70,0.51
,NA,Leu,< 0.01,0.92,0.63,0.15,0.66,0.62,0.23
,NA,Lys,0.08,0.12,0.60,0.00,0.72,0.52,0.78
,NA,Pro,0.01,0.47,0.21,0.06,0.03,0.47,0.13
,NA,s_Al,0.33,0.20,0.56,0.13,0.63,0.28,0.60
,NA,s_Ca,0.00,0.89,0.66,0.09,0.68,0.56,0.47
,NA,s_K,0.06,0.04,0.86,0.33,0.18,0.27,0.98
,NA,s_Mn,0.40,0.02,0.77,0.76,0.68,0.40,0.41
,NA,s_P,0.55,0.21,0.04,0.72,0.36,0.17,0.69
,NA,s_Mg,< 0.01,0.16,0.70,0.54,0.60,0.41,0.29
,NA,s_Zn,0.31,0.23,0.98,0.40,0.90,0.98,0.48
,NA,moisture,< 0.01,0.38,0.79,0.44,0.68,0.80,0.15
