"","leaf.char","variable","height","N","P","height*N","height*P","N*P","height*N*P","height.adj","N.adj","P.adj","heightN.adj","heightP.adj","NP.adj"
"20","Physical characteristics","mass_g",0.00873971109228511,0.449011174083982,0.687157968084587,0.873875134524148,0.0868922536193435,0.843952690193351,0.586653000776923,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"3","Physical characteristics","area_cm2",2.48479370412724e-09,0.599357081028646,0.604659272637672,0.609256344044199,0.0214029798201547,0.487372120425742,0.527340681191064,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.898925152446498,0.983957706902323
"38","Physical characteristics","SLA",1.11022302462516e-16,0.234441359143727,0.596334061743967,0.811501105835006,0.0329218366073847,0.367753383131266,0.74471871318453,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"28",NA,"protein",8.58069171272291e-12,0.877357292455259,0.327779403719285,0.575587820749334,0.719599289603399,0.595171953748459,0.21809456741998,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"42","Photosynthetic pigments","total_chl",2.27307062061755e-12,0.01513508293174,0.353343792872338,0.826918912520451,0.353719347768496,0.725598385438084,0.6178059856766,0.995168352451161,0.559998068474381,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"9","Photosynthetic pigments","carot",2.82188965528007e-08,0.0111452726617705,0.457457196251581,0.226841914647669,0.428861547746408,0.385458213281555,0.422095106763194,0.995168352451161,0.456956179132589,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"12","Photosynthetic pigments","Chl_R",1.10633608940702e-07,0.637311349430994,0.16968169731942,0.263202645429111,0.254407538895906,0.982815656359043,0.506375222551153,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"7",NA,"C",1.10815800979935e-11,0.813126783847162,0.751582556404928,0.0397311639422095,0.166474293541286,0.189659896608239,0.145800554157134,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"24",NA,"N",0.000464278924917183,0.0137172945556179,0.529420439721705,0.964346322200619,0.0721865932639567,0.347865391899655,0.686449580160408,0.995168352451161,0.534974487669097,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"26",NA,"P",0.00716804310169306,0.316527671192598,0.00213847386751653,0.514225486251931,0.0164150952474726,0.117578511069662,0.406459376017862,0.995168352451161,0.921699878206974,0.0898159024356944,0.98532694606488,0.705849095641324,0.983957706902323
"25",NA,"N_P",0.682278066258632,0.0168361850672799,0.000702822506701839,0.522391173769257,0.429886826870535,0.0548899207669519,0.527146016320578,0.995168352451161,0.606102662422077,0.0309241902948809,0.98532694606488,0.902483386048603,0.983957706902323
"8",NA,"Ca",1.85779670536235e-08,0.919706451199555,0.845996750406494,0.503815791056985,0.622233986310786,0.974176512923634,0.331853588273897,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"21",NA,"Mg",1.40181891650215e-08,0.0901210280234728,0.968878086042334,0.510341745068168,0.178093914365536,0.489461542529574,0.2551820443799,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"22",NA,"Mn",0.00425189595769759,0.0116093347277819,0.260579088517502,0.378938229146951,0.109990402361172,0.782634197327098,0.354930493873421,0.995168352451161,0.464373389111277,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"1",NA,"Al",0.858606032551336,0.0103431970799228,0.546995755941714,0.430306284600205,0.0518508467468594,0.414508513933848,0.728294815251227,0.995168352451161,0.434414277356758,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"6",NA,"B",5.8928804921532e-05,0.214436029174972,0.00140558283025349,0.957975212702516,0.00361868381493236,0.0956198633265649,0.52815119896711,0.995168352451161,0.921699878206974,0.0604400617009002,0.98532694606488,0.159222087857024,0.983957706902323
"44",NA,"Zn",5.44019274073548e-11,0.6416255830633,0.868426108059141,0.0455166473800549,0.182683530824539,0.735417872553655,0.126397443575985,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"30",NA,"S",0.000587583216326681,0.0974885227088274,0.324734180806939,0.221389169389292,0.708117595124167,0.750392307482586,0.496866244091757,0.995168352451161,0.921699878206974,0.980967238405729,0.98532694606488,0.902483386048603,0.983957706902323
"2","Amino acids","Ala",0.121409292158847,0.00587173999060231,0.61987330352967,0.00309885743685334,0.475963693973245,0.809082727616065,0.995168352451161,0.995168352451161,0.258356559586502,0.980967238405729,0.133250869784694,0.902483386048603,0.983957706902323
"14","Amino acids","GABA",0.00187902074923896,0.199520059073853,0.652588774593427,0.00583922141438253,0.338406900404396,0.514966322590863,0.134526368907494,0.995168352451161,0.921699878206974,0.980967238405729,0.233568856575301,0.902483386048603,0.983957706902323
